"id","airport_name","city_name","type","latitude","longitude","country_iso_code","country_name","timezone","iata_code","icao_code"
1,"Goroka","Goroka","PG","-6,081689","145,391881","PG","Papua New Guinea",10.00,"GKA","AYGA"
2,"Madang","Madang","PG","-5,207083","145,7887","PG","Papua New Guinea",10.00,"MAG","AYMD"
3,"Mount Hagen","Mount Hagen","PG","-5,826789","144,295861","PG","Papua New Guinea",10.00,"HGU","AYMH"
4,"Nadzab","Nadzab","PG","-6,569828","146,726242","PG","Papua New Guinea",10.00,"LAE","AYNZ"
5,"Port Moresby Jacksons Intl","Port Moresby","PG","-9,443383","147,22005","PG","Papua New Guinea",10.00,"POM","AYPY"
6,"Wewak Intl","Wewak","PG","-3,583828","143,669186","PG","Papua New Guinea",10.00,"WWK","AYWK"
7,"Narsarsuaq","Narssarssuaq","GL","61,160517","-45,425978","GL","Greenland",-3.00,"UAK","BGBW"
8,"Nuuk","Godthaab","GL","64,190922","-51,678064","GL","Greenland",-3.00,"GOH","BGGH"
9,"Sondre Stromfjord","Sondrestrom","GL","67,016969","-50,689325","GL","Greenland",-3.00,"SFJ","BGSF"
10,"Thule Air Base","Thule","GL","76,531203","-68,703161","GL","Greenland",-4.00,"THU","BGTL"
11,"Akureyri","Akureyri","IS","65,659994","-18,072703","IS","Iceland",0.00,"AEY","BIAR"
12,"Egilsstadir","Egilsstadir","IS","65,283333","-14,401389","IS","Iceland",0.00,"EGS","BIEG"
13,"Hornafjordur","Hofn","IS","64,295556","-15,227222","IS","Iceland",0.00,"HFN","BIHN"
14,"Husavik","Husavik","IS","65,952328","-17,425978","IS","Iceland",0.00,"HZK","BIHU"
15,"Isafjordur","Isafjordur","IS","66,058056","-23,135278","IS","Iceland",0.00,"IFJ","BIIS"
16,"Keflavik International Airport","Keflavik","IS","63,985","-22,605556","IS","Iceland",0.00,"KEF","BIKF"
17,"Patreksfjordur","Patreksfjordur","IS","65,555833","-23,965","IS","Iceland",0.00,"PFJ","BIPA"
18,"Reykjavik","Reykjavik","NA","64,13","-21,940556","NA","Iceland",0.00,"RKV","BIRK"
19,"Siglufjordur","Siglufjordur","IS","66,133333","-18,916667","IS","Iceland",0.00,"SIJ","BISI"
20,"Vestmannaeyjar","Vestmannaeyjar","IS","63,424303","-20,278875","IS","Iceland",0.00,"VEY","BIVM"
21,"Sault Ste Marie","Sault Sainte Marie","CA","46,485001","-84,509445","CA","Canada",-5.00,"YAM","CYAM"
22,"Winnipeg St Andrews","Winnipeg","CA","50,056389","-97,0325","CA","Canada",-6.00,"YAV","CYAV"
23,"Shearwater","Halifax","CA","44,639721","-63,499444","CA","Canada",-4.00,"YAW","CYAW"
24,"St Anthony","St. Anthony","CA","51,391944","-56,083056","CA","Canada",-4.00,"YAY","CYAY"
25,"Tofino","Tofino","CA","49,082222","-125,7725","CA","Canada",-8.00,"YAZ","CYAZ"
26,"Kugaaruk","Pelly Bay","CA","68,534444","-89,808056","CA","Canada",-6.00,"YBB","CYBB"
27,"Baie Comeau","Baie Comeau","CA","49,1325","-68,204444","CA","Canada",-5.00,"YBC","CYBC"
28,"Bagotville","Bagotville","CA","48,330555","-70,996391","CA","Canada",-5.00,"YBG","CYBG"
29,"Baker Lake","Baker Lake","CA","64,298889","-96,077778","CA","Canada",-6.00,"YBK","CYBK"
30,"Campbell River","Campbell River","CA","49,950832","-125,270833","CA","Canada",-8.00,"YBL","CYBL"
31,"Brandon Muni","Brandon","CA","49,91","-99,951944","CA","Canada",-6.00,"YBR","CYBR"
32,"Cambridge Bay","Cambridge Bay","CA","69,108055","-105,138333","CA","Canada",-7.00,"YCB","CYCB"
33,"Nanaimo","Nanaimo","CA","49,052333","-123,870167","CA","Canada",-8.00,"YCD","CYCD"
34,"Castlegar","Castlegar","CA","49,296389","-117,6325","CA","Canada",-8.00,"YCG","CYCG"
35,"Miramichi","Chatham","CA","47,007778","-65,449167","CA","Canada",-4.00,"YCH","CYCH"
36,"Charlo","Charlo","CA","47,990833","-66,330278","CA","Canada",-4.00,"YCL","CYCL"
37,"Kugluktuk","Coppermine","CA","67,816667","-115,143889","CA","Canada",-7.00,"YCO","CYCO"
38,"Coronation","Coronation","NA","52,075001","-111,445278","NA","Canada",-7.00,"YCT","CYCT"
39,"Chilliwack","Chilliwack","NA","49,152779","-121,93889","NA","Canada",-8.00,"YCW","CYCW"
40,"Clyde River","Clyde River","CA","70,486111","-68,516667","CA","Canada",-5.00,"YCY","CYCY"
41,"Fairmont Hot Springs","Coral Harbour","CA","64,193333","-83,359444","CA","Canada",-7.00,"YZS","CYCZ"
42,"Dawson City","Dawson","CA","64,043056","-139,127778","CA","Canada",-8.00,"YDA","CYDA"
43,"Burwash","Burwash","CA","61,371111","-139,040556","CA","Canada",-8.00,"YDB","CYDB"
44,"Princeton","Princeton","NA","49,468056","-120,511389","NA","Canada",-8.00,"YDC","CYDC"
45,"Deer Lake","Deer Lake","CA","49,210833","-57,391388","CA","Canada",-4.00,"YDF","CYDF"
46,"Dease Lake","Dease Lake","NA","58,422222","-130,032222","NA","Canada",-8.00,"YDL","CYDL"
47,"Dauphin Barker","Dauphin","CA","51,100834","-100,0525","CA","Canada",-6.00,"YDN","CYDN"
48,"Dawson Creek","Dawson Creek","CA","55,742333","-120,183","CA","Canada",-7.00,"YDQ","CYDQ"
49,"Edmonton Intl","Edmonton","CA","53,309723","-113,579722","CA","Canada",-7.00,"YEG","CYEG"
50,"Arviat","Eskimo Point","CA","61,094166","-94,070833","CA","Canada",-6.00,"YEK","CYEK"
51,"Estevan","Estevan","CA","49,210278","-102,965833","CA","Canada",-6.00,"YEN","CYEN"
52,"Edson","Edson","CA","53,578888","-116,465","CA","Canada",-7.00,"YET","CYET"
53,"Eureka","Eureka","CA","79,994722","-85,814167","CA","Canada",-6.00,"YEU","CYEU"
54,"Inuvik Mike Zubko","Inuvik","CA","68,304167","-133,482778","CA","Canada",-7.00,"YEV","CYEV"
55,"Iqaluit","Iqaluit","CA","63,75639","-68,555832","CA","Canada",-5.00,"YFB","CYFB"
56,"Fredericton","Fredericton","CA","45,868889","-66,537222","CA","Canada",-4.00,"YFC","CYFC"
57,"Forestville","Forestville","US","48,746111","-69,097222","US","Canada",-5.00,"","CYFE"
58,"Flin Flon","Flin Flon","CA","54,678055","-101,681667","CA","Canada",-6.00,"YFO","CYFO"
59,"Fort Resolution","Fort Resolution","CA","61,180832","-113,689722","CA","Canada",-7.00,"YFR","CYFR"
60,"Fort Simpson","Fort Simpson","CA","61,760153","-121,236525","CA","Canada",-7.00,"YFS","CYFS"
61,"Kingston","Kingston","CA","44,225277","-76,596944","CA","Canada",-5.00,"YGK","CYGK"
62,"La Grande Riviere","La Grande Riviere","CA","53,625278","-77,704167","CA","Canada",-5.00,"YGL","CYGL"
63,"Gaspe","Gaspe","CA","48,775278","-64,478611","CA","Canada",-5.00,"YGP","CYGP"
64,"Geraldton Greenstone Regional","Geraldton","CA","49,778332","-86,939445","CA","Canada",-5.00,"YGQ","CYGQ"
65,"Iles De La Madeleine","Iles De La Madeleine","CA","47,424721","-61,778056","CA","Canada",-4.00,"YGR","CYGR"
66,"Hudson Bay","Hudson Bay","NA","52,816666","-102,31139","NA","Canada",-6.00,"YHB","CYHB"
67,"Dryden Rgnl","Dryden","CA","49,831667","-92,744167","CA","Canada",-6.00,"YHD","CYHD"
68,"Ulukhaktok Holman","Holman Island","CA","70,762778","-117,806111","CA","Canada",-7.00,"YHI","CYHI"
69,"Gjoa Haven","Gjoa Haven","CA","68,635556","-95,849722","CA","Canada",-6.00,"YHK","CYHK"
70,"Hamilton","Hamilton","CA","43,173611","-79,935","CA","Canada",-5.00,"YHM","CYHM"
71,"St Hubert","Montreal","CA","45,5175","-73,416944","CA","Canada",-5.00,"YHU","CYHU"
72,"Hay River","Hay River","CA","60,839722","-115,782778","CA","Canada",-7.00,"YHY","CYHY"
73,"Halifax Intl","Halifax","CA","44,880833","-63,50861","CA","Canada",-4.00,"YHZ","CYHZ"
74,"Atikokan Muni","Atikokan","CA","48,773888","-91,638611","CA","Canada",-6.00,"YIB","CYIB"
75,"Pond Inlet","Pond Inlet","CA","72,683334","-77,966667","CA","Canada",-5.00,"YIO","CYIO"
