id,distance,time,from_airport,to_airport
1,1484,NULL,2968,4029
2,770,NULL,2968,2990
3,1338,NULL,2968,4078
4,1484,NULL,4029,2968
5,1098,NULL,4029,2952
6,715,NULL,4029,2990
7,8642,NULL,4029,3769
8,527,NULL,4029,6165
9,951,NULL,4029,6160
10,10457,NULL,2922,3769
11,1098,NULL,2952,4029
12,770,NULL,2990,2968
13,715,NULL,2990,4029
14,1216,NULL,2990,2948
15,2654,NULL,2990,346
16,248,NULL,2990,6160
17,1216,NULL,2948,2990
18,7985,NULL,2948,3769
19,1464,NULL,2948,6160
20,2654,NULL,346,2990
21,8642,NULL,3769,4029
22,10457,NULL,3769,2922
23,7985,NULL,3769,2948
24,1557,NULL,2972,6160
25,1338,NULL,4078,2968
26,527,NULL,6165,4029
27,951,NULL,6160,4029
28,248,NULL,6160,2990
29,1464,NULL,6160,2948
30,1557,NULL,6160,2972
31,448,NULL,2787,2789
32,180,NULL,2802,2792
33,765,NULL,2802,2789
34,339,NULL,2786,2789
35,585,NULL,2812,2789
36,310,NULL,2812,2808
37,258,NULL,6067,2789
38,529,NULL,2801,2781
39,454,NULL,2801,2806
40,180,NULL,2792,2802
41,448,NULL,2789,2787
42,765,NULL,2789,2802
43,339,NULL,2789,2786
44,585,NULL,2789,2812
45,258,NULL,2789,6067
46,491,NULL,2789,2781
47,1008,NULL,2789,2796
48,618,NULL,2789,2806
49,529,NULL,2781,2801
50,491,NULL,2781,2789
51,287,NULL,2781,2806
52,310,NULL,2808,2812
53,149,NULL,2796,2810
54,454,NULL,2806,2801
55,618,NULL,2806,2789
56,287,NULL,2806,2781
57,944,NULL,2810,2789
58,657,NULL,253,247
59,831,NULL,253,246
60,764,NULL,248,246
61,1059,NULL,1044,1084
62,4135,NULL,1044,1386
63,699,NULL,1044,246
64,657,NULL,247,253
65,334,NULL,247,246
66,853,NULL,245,897
67,1018,NULL,245,970
68,791,NULL,245,246
69,1059,NULL,1084,1044
70,1747,NULL,1084,246
71,853,NULL,897,245
72,1018,NULL,970,245
73,751,NULL,298,246
74,419,NULL,280,246
75,4060,NULL,1386,246
76,831,NULL,246,253
77,764,NULL,246,248
78,699,NULL,246,1044
79,334,NULL,246,247
80,791,NULL,246,245
81,1747,NULL,246,1084
82,751,NULL,246,298
83,419,NULL,246,280
84,722,NULL,2709,2688
85,128,NULL,2671,2673
86,310,NULL,2671,2688
87,1169,NULL,2672,2673
88,1310,NULL,2672,2688
89,128,NULL,2673,2671
90,1169,NULL,2673,2672
91,4799,NULL,2673,3797
92,272,NULL,2673,2688
93,4799,NULL,3797,2673
94,259,NULL,2683,2688
95,722,NULL,2688,2709
96,310,NULL,2688,2671
97,272,NULL,2688,2673
98,259,NULL,2688,2683
99,959,NULL,1501,1678
100,922,NULL,490,1678
101,959,NULL,1678,1501
102,922,NULL,1678,490
103,732,NULL,1489,1735
104,732,NULL,1735,1489
105,671,NULL,1735,4317
106,595,NULL,1735,1663
107,671,NULL,4317,1735
108,595,NULL,1663,1735
109,663,NULL,730,737
110,118,NULL,730,719
111,663,NULL,737,730
112,843,NULL,737,715
113,377,NULL,737,718
114,546,NULL,737,719
115,122,NULL,737,442
116,222,NULL,737,746
117,550,NULL,737,729
118,464,NULL,738,5593
119,359,NULL,609,742
120,843,NULL,715,737
121,475,NULL,715,718
122,280,NULL,421,442
123,159,NULL,5599,729
124,377,NULL,718,737
125,475,NULL,718,715
126,359,NULL,742,609
127,98,NULL,742,731
128,118,NULL,719,730
129,546,NULL,719,737
130,122,NULL,442,737
131,280,NULL,442,421
132,98,NULL,731,742
133,464,NULL,5593,738
134,222,NULL,746,737
135,550,NULL,729,737
136,159,NULL,729,5599
