id,"month",average,average_high,average_low,precipitation,"country_iso_code"
1,"JAN",3,8,-2,876,"CA"
2,"FEB",-12,-7,-17,76,"CA"
3,"MAR",-10,-5,-15,60,"CA"
4,"APR",-5,1,-10,62,"CA"
5,"MAY",3,8,-3,59,"CA"
6,"JUN",9,15,3,67,"CA"
7,"JUL",14,20,8,78,"CA"
8,"AUG",17,23,11,76,"CA"
9,"SEP",16,22,10,74,"CA"
10,"OCT",11,17,6,75,"CA"
11,"NOV",5,10,0,79,"CA"
12,"DEC",-2,1,-6,84,"CA"
13,"JAN",24,30,18,159,"SA"
14,"FEB",15,20,10,13,"SA"
15,"MAR",17,22,11,12,"SA"
16,"APR",20,26,15,26,"SA"
17,"MAY",24,30,18,21,"SA"
18,"JUN",29,34,22,12,"SA"
19,"JUL",31,37,25,0,"SA"
20,"AUG",32,38,26,2,"SA"
21,"SEP",32,37,26,6,"SA"
22,"OCT",30,36,23,1,"SA"
23,"NOV",26,32,19,4,"SA"
24,"DEC",20,26,15,17,"SA"
25,"JAN",15,22,9,194,"TM"
26,"FEB",3,8,-1,20,"TM"
27,"MAR",5,10,0,22,"TM"
28,"APR",9,15,4,34,"TM"
29,"MAY",15,22,9,35,"TM"
30,"JUN",22,29,15,14,"TM"
31,"JUL",26,34,19,2,"TM"
32,"AUG",29,36,21,1,"TM"
33,"SEP",27,35,20,0,"TM"
34,"OCT",22,30,14,1,"TM"
35,"NOV",15,22,8,10,"TM"
36,"DEC",9,15,3,15,"TM"
37,"JAN",6,9,3,645,"LT"
38,"FEB",-4,-1,-6,41,"LT"
39,"MAR",-3,-1,-6,31,"LT"
40,"APR",NULL,2,-3,37,"LT"
41,"MAY",5,9,1,46,"LT"
42,"JUN",11,16,7,51,"LT"
43,"JUL",15,20,10,75,"LT"
44,"AUG",17,21,12,80,"LT"
45,"SEP",16,20,12,69,"LT"
46,"OCT",12,16,8,61,"LT"
47,"NOV",7,10,4,56,"LT"
48,"DEC",2,3,0,51,"LT"
49,"JAN",27,32,23,1617,"KH"
50,"FEB",25,31,20,4,"KH"
51,"MAR",27,32,21,11,"KH"
52,"APR",28,34,23,35,"KH"
53,"MAY",29,35,25,81,"KH"
54,"JUN",28,33,24,177,"KH"
55,"JUL",28,32,24,195,"KH"
56,"AUG",27,31,24,217,"KH"
57,"SEP",27,31,24,237,"KH"
58,"OCT",27,30,24,261,"KH"
59,"NOV",26,30,23,237,"KH"
60,"DEC",26,30,22,105,"KH"
61,"JAN",7,12,3,1220,"CH"
62,"FEB",-2,2,-4,69,"CH"
63,"MAR",-1,3,-4,64,"CH"
64,"APR",3,8,-1,79,"CH"
65,"MAY",6,12,2,96,"CH"
66,"JUN",11,16,6,111,"CH"
67,"JUL",14,20,10,122,"CH"
68,"AUG",16,22,12,123,"CH"
69,"SEP",16,22,11,130,"CH"
70,"OCT",13,18,9,112,"CH"
71,"NOV",8,12,4,110,"CH"
72,"DEC",3,6,NULL,94,"CH"
73,"JAN",20,27,14,1002,"ET"
74,"FEB",19,27,13,15,"ET"
75,"MAR",20,28,14,27,"ET"
76,"APR",21,29,15,52,"ET"
77,"MAY",21,29,16,92,"ET"
78,"JUN",22,29,17,99,"ET"
79,"JUL",21,28,16,104,"ET"
80,"AUG",19,26,15,174,"ET"
81,"SEP",19,25,14,192,"ET"
82,"OCT",20,26,15,127,"ET"
83,"NOV",20,28,14,64,"ET"
84,"DEC",19,27,13,30,"ET"
85,"JAN",28,30,26,NULL,"AW"
86,"FEB",27,29,24,NULL,"AW"
87,"MAR",27,29,24,NULL,"AW"
88,"APR",27,30,25,NULL,"AW"
89,"MAY",28,30,25,NULL,"AW"
90,"JUN",28,31,26,NULL,"AW"
91,"JUL",29,31,26,NULL,"AW"
92,"AUG",28,31,26,NULL,"AW"
93,"SEP",29,31,26,NULL,"AW"
94,"OCT",29,31,26,NULL,"AW"
95,"NOV",29,31,26,NULL,"AW"
96,"DEC",28,30,26,NULL,"AW"
97,"JAN",15,21,10,635,"AR"
98,"FEB",22,28,16,71,"AR"
99,"MAR",21,27,15,69,"AR"
100,"APR",19,25,13,77,"AR"
101,"MAY",15,21,10,54,"AR"
102,"JUN",12,17,7,39,"AR"
103,"JUL",9,14,4,29,"AR"
104,"AUG",8,14,4,27,"AR"
105,"SEP",10,16,5,25,"AR"
106,"OCT",12,18,7,35,"AR"
107,"NOV",15,22,10,55,"AR"
108,"DEC",18,24,12,59,"AR"
109,"JAN",21,26,12,1195,"BO"
110,"FEB",23,26,15,198,"BO"
111,"MAR",22,27,15,173,"BO"
112,"APR",22,27,15,148,"BO"
113,"MAY",21,26,13,85,"BO"
114,"JUN",19,24,10,52,"BO"
115,"JUL",18,24,8,35,"BO"
116,"AUG",18,24,8,28,"BO"
117,"SEP",20,26,9,30,"BO"
118,"OCT",21,27,12,51,"BO"
119,"NOV",23,28,13,89,"BO"
120,"DEC",23,27,14,126,"BO"
121,"JAN",24,30,20,1797,"CM"
122,"FEB",24,30,19,18,"CM"
123,"MAR",25,31,20,37,"CM"
124,"APR",25,32,21,106,"CM"
125,"MAY",25,32,21,149,"CM"
126,"JUN",25,31,21,194,"CM"
127,"JUL",24,29,20,195,"CM"
128,"AUG",23,28,20,206,"CM"
129,"SEP",23,27,20,236,"CM"
130,"OCT",23,28,19,287,"CM"
131,"NOV",24,29,19,254,"CM"
132,"DEC",24,30,19,84,"CM"
133,"JAN",27,22,24,2224,"MP"
134,"FEB",26,29,23,124,"MP"
135,"MAR",26,29,23,112,"MP"
136,"APR",27,30,23,127,"MP"
137,"MAY",27,30,24,126,"MP"
138,"JUN",28,31,24,130,"MP"
139,"JUL",28,31,25,139,"MP"
140,"AUG",28,31,24,295,"MP"
141,"SEP",27,31,24,318,"MP"
142,"OCT",28,31,24,302,"MP"
143,"NOV",27,31,24,246,"MP"
144,"DEC",27,30,24,174,"MP"
145,"JAN",17,16,12,1671,"SH"
146,"FEB",19,19,14,109,"SH"
147,"MAR",20,20,15,96,"SH"
148,"APR",19,19,15,131,"SH"
149,"MAY",19,18,14,148,"SH"
150,"JUN",17,17,12,148,"SH"
151,"JUL",16,15,11,168,"SH"
152,"AUG",15,14,10,148,"SH"
153,"SEP",15,14,10,163,"SH"
154,"OCT",15,14,10,147,"SH"
155,"NOV",15,15,10,148,"SH"
156,"DEC",16,16,12,130,"SH"
157,"JAN",8,13,4,918,"KP"
158,"FEB",-8,-3,-11,14,"KP"
159,"MAR",-5,0,-9,14,"KP"
160,"APR",1,6,-3,24,"KP"
161,"MAY",8,13,3,45,"KP"
162,"JUN",13,19,9,70,"KP"
163,"JUL",18,23,14,101,"KP"
164,"AUG",21,25,19,219,"KP"
165,"SEP",22,26,19,213,"KP"
166,"OCT",16,22,12,108,"KP"
167,"NOV",10,16,5,45,"KP"
168,"DEC",2,7,-1,36,"KP"
169,"JAN",27,29,25,1007,"GH"
170,"FEB",27,29,25,7,"GH"
171,"MAR",29,31,27,15,"GH"
172,"APR",29,31,27,45,"GH"
173,"MAY",29,30,27,85,"GH"
174,"JUN",28,29,26,131,"GH"
175,"JUL",26,28,25,168,"GH"
176,"AUG",25,27,24,125,"GH"
177,"SEP",25,26,23,127,"GH"
178,"OCT",26,27,24,149,"GH"
179,"NOV",26,28,25,85,"GH"
