index;code;latitude;longitude
1;"AD";42.546245;1.6015539999999646
2;"AE";23.424076;53.84781799999996
3;"AF";33.93911;67.70995300000004
4;"AG";17.060816;-61.79642799999999
5;"AI";18.220554;-63.06861500000002
6;"AL";41.153332;20.168330999999966
7;"AM";40.069099;45.03818899999999
8;"AN";12.226079;-69.06008700000001
9;"AO";-11.202692;17.873886999999968
10;"AQ";-82.86275189999999;-135
11;"AR";-38.416097;-63.616671999999994
12;"AS";-14.270972;-170.13221699999997
13;"AT";47.516231;14.550072
14;"AU";-25.274398;133.77513599999997
15;"AW";12.52111;-69.96833800000002
16;"AZ";40.143105;47.57692700000007
17;"BA";43.915886;17.67907600000001
18;"BB";13.193887;-59.54319799999996
19;"BD";23.684994;90.35633099999995
20;"BE";50.503887;4.4699359999999615
21;"BF";12.238333;-1.5615930000000162
22;"BG";42.733883;25.485829999999964
23;"BH";25.930414;50.63777200000004
24;"BI";-3.373056;29.91888599999993
25;"BJ";9.30769;2.3158339999999953
26;"BL";17.9;-62.83333300000004
27;"BM";32.321384;-64.75736999999998
28;"BN";4.535277;114.72766899999999
29;"BO";-16.290154;-63.58865300000002
30;"BR";-14.235004;-51.92527999999999
31;"BS";25.03428;-77.39627999999999
32;"BT";27.514162;90.43360099999995
33;"BW";-22.328474;24.684866000000056
34;"BY";53.709807;27.953389000000016
35;"BZ";17.189877;-88.49765000000002
36;"CA";56.130366;-106.34677099999999
37;"CC";-12.164165;96.87095599999998
38;"CD";-4.038333;21.758663999999953
39;"CF";6.611110999999999;20.93944399999998
40;"CG";-4.2666667;15.283333299999981
41;"CH";46.818188;8.227511999999933
42;"CI";7.539988999999999;-5.547080000000051
43;"CK";-21.236736;-159.777671
44;"CL";-35.675147;-71.54296899999997
45;"CM";7.369721999999999;12.354722000000038
46;"CN";35.86166;104.19539699999996
47;"CO";4.570868;-74.29733299999998
48;"CR";9.748916999999999;-83.75342799999999
49;"CU";21.521757;-77.78116699999998
50;"CV";16.002082;-24.01319699999999
51;"CX";-10.447525;105.69044899999994
52;"CY";35.126413;33.429858999999965
53;"CZ";49.81749199999999;15.472962000000052
54;"DE";51.165691;10.451526000000058
55;"DJ";11.825138;42.59027500000002
56;"DK";56.26392;9.50178500000004
57;"DM";15.414999;-61.37097600000004
58;"DO";18.735693;-70.16265099999998
59;"DZ";28.033886;1.659626000000003
60;"EC";-1.831239;-78.18340599999999
61;"EE";58.595272;25.01360699999998
62;"EG";26.820553;30.802498000000014
63;"EH";24.215527;-12.885833999999932
64;"ER";15.179384;39.78233399999999
65;"ES";40.46366700000001;-3.7492200000000366
66;"ET";9.145000000000001;40.48967300000004
67;"FI";65.14623449999999;26.720577100000014
68;"FJ";-17.713371;178.06503199999997
69;"FK";-51.796253;-59.52361300000001
70;"FM";7.425554;150.55081199999995
71;"FO";61.89263500000001;-6.91180600000007
72;"FR";46.227638;2.213749000000007
73;"GA";-0.803689;11.60944399999994
74;"GB";55.378051;-3.43597299999999
75;"GD";12.262776;-61.60417099999995
76;"GE";32.1574351;-82.90712300000001
77;"GF";3.933889;-53.125782000000015
78;"GG";49.465691;-2.5852780000000166
79;"GH";7.946527;-1.0231939999999895
80;"GI";36.137741;-5.3453739999999925
81;"GL";71.706936;-42.604303000000016
82;"GM";13.443182;-15.310138999999936
83;"GN";9.945587;-9.69664499999999
84;"GP";16.265;-61.55099999999999
85;"GQ";1.650801;10.267894999999953
86;"GR";39.074208;21.824311999999964
87;"GS";-54.429579;-36.58790899999997
88;"GT";15.783471;-90.23075899999998
89;"GU";13.444304;144.79373099999998
90;"GW";11.803749;-15.180413000000044
91;"GY";4.860416;-58.93018000000001
92;"HK";22.396428;114.10949700000003
93;"HN";15.199999;-86.24190499999997
94;"HR";45.1;15.200000000000045
95;"HT";18.971187;-72.285215
96;"HU";47.162494;19.50330400000007
97;"ID";-0.789275;113.92132700000002
98;"IE";53.41291;-8.243889999999965
99;"IL";31.046051;34.85161199999993
100;"IM";54.236107;-4.548055999999974
101;"IN";20.593684;78.96288000000004
102;"IO";-6.343194;71.87651900000003
103;"IQ";33.223191;43.679291000000035
104;"IR";32.427908;53.688045999999986
105;"IS";64.963051;-19.020835000000034
106;"IT";41.87194;12.567379999999957
107;"JE";49.214439;-2.1312500000000227
108;"JM";18.109581;-77.297508
109;"JO";30.585164;36.238414000000034
110;"JP";36.204824;138.252924
111;"KE";-0.023559;37.90619300000003
112;"KG";41.20438;74.76609800000006
113;"KH";12.565679;104.99096299999997
114;"KI";-3.370417;-168.734039
115;"KM";-11.875001;43.87221899999997
116;"KN";17.357822;-62.78299800000002
117;"KP";40.339852;127.51009299999998
118;"KR";35.907757;127.76692200000002
119;"KS";42.6026359;20.902976999999964
120;"KW";29.31166;47.48176599999999
121;"KY";19.513469;-80.566956
122;"KZ";48.019573;66.92368399999998
123;"LA";19.85627;102.495496
124;"LB";33.854721;35.86228499999993
125;"LC";13.909444;-60.97889299999997
126;"LI";47.166;9.555373000000031
127;"LK";7.873053999999999;80.77179699999999
128;"LR";6.428055;-9.429498999999964
129;"LS";-29.609988;28.233608000000004
130;"LT";55.169438;23.88127499999996
131;"LU";49.815273;6.129583000000025
132;"LV";56.879635;24.60318899999993
133;"LY";26.3351;17.228331000000026
134;"MA";31.791702;-7.092620000000011
135;"MC";43.73841760000001;7.42461579999997
136;"MD";47.411631;28.369885000000068
137;"ME";42.708678;19.37438999999995
138;"MF";18.08255;-63.05225100000001
139;"MG";-18.766947;46.869106999999985
140;"MH";7.131474;171.184478
141;"MK";41.608635;21.745274999999992
142;"ML";17.570692;-3.9961660000000165
143;"MM";21.913965;95.95622300000002
144;"MN";46.862496;103.84665599999994
145;"MO";22.198745;113.54387300000008
146;"MP";17.33083;145.38468999999998
147;"MQ";14.641528;-61.024174000000016
148;"MR";21.00789;-10.940834999999993
149;"MS";16.742498;-62.187366
150;"MT";35.937496;14.375415999999973
151;"MU";-20.348404;57.55215199999998
152;"MV";3.202778;73.22068000000002
153;"MW";-13.254308;34.30152499999997
154;"MX";23.634501;-102.55278399999997
155;"MY";4.210484;101.97576600000002
156;"MZ";-18.665695;35.52956199999994
157;"NA";-22.95764;18.490409999999997
158;"NC";-20.904305;165.61804200000006
159;"NE";17.607789;8.081666000000041
160;"NF";-29.040835;167.95471199999997
161;"NG";9.081999;8.675277000000051
162;"NI";12.865416;-85.20722899999998
163;"NL";52.132633;5.2912659999999505
164;"NO";60.47202399999999;8.46894599999996
165;"NP";28.394857;84.124008
166;"NR";-0.522778;166.93150300000002
167;"NU";-19.054445;-169.867233
168;"NZ";-40.900557;174.88597100000004
169;"OM";21.512583;55.923254999999926
170;"PA";8.537981;-80.782127
171;"PE";-9.189967;-75.015152
172;"PF";-17.679742;-149.40684299999998
173;"PG";-6.314992999999999;143.95555000000002
174;"PH";12.879721;121.77401699999996
175;"PK";30.375321;69.34511599999996
176;"PL";51.919438;19.14513599999998
177;"PM";46.941936;-56.27111000000002
178;"PN";-24.703615;-127.43930799999998
179;"PR";18.220833;-66.590149
180;"PS";5.06285;-75.67993000000001
181;"PT";39.39987199999999;-8.224454000000037
182;"PW";7.514979999999999;134.58251999999993
183;"PY";-23.442503;-58.443831999999986
184;"QA";25.354826;51.183884000000035
185;"RE";-21.115141;55.536384
186;"RO";45.943161;24.966760000000022
187;"RS";44.016521;21.005858999999987
188;"RU";61.52401;105.31875600000001
189;"RW";-1.940278;29.873887999999965
190;"SA";23.885942;45.079162
191;"SB";-9.64571;160.15619400000003
192;"SC";-4.679574;55.49197700000002
193;"SD";12.862807;30.21763599999997
194;"SE";60.12816100000001;18.643501000000015
195;"SG";1.352083;103.81983600000001
196;"SH";38.5027778;-122.46972219999998
197;"SI";46.151241;14.995462999999972
198;"SK";48.669026;19.69902400000001
199;"SL";8.460555;-11.779889000000026
200;"SM";43.94236;12.457776999999965
201;"SN";14.497401;-14.452361999999994
202;"SO";5.152149;46.19961599999999
203;"SR";3.919305;-56.027783
204;"SS";7.9630921;30.158930300000065
205;"ST";0.18636;6.613080999999966
206;"SV";13.794185;-88.89652999999998
207;"SY";34.80207499999999;38.99681499999997
208;"SZ";-26.522503;31.465866000000005
209;"TC";21.694025;-71.79792800000001
210;"TD";15.454166;18.732207000000017
211;"TF";-49.280366;69.34855700000003
212;"TG";8.619543;0.8247820000000274
213;"TH";15.870032;100.99254100000007
214;"TJ";38.861034;71.27609299999995
215;"TK";-8.967362999999999;-171.855881
216;"TL";-8.874217;125.72753899999998
217;"TM";38.969719;59.55627800000002
218;"TN";33.886917;9.537499000000025
219;"TO";-21.178986;-175.198242
220;"TR";38.963745;35.243322000000035
221;"TT";10.691803;-61.22250300000002
222;"TV";-7.109534999999999;177.64932999999996
223;"TW";23.69781;120.96051499999999
224;"TZ";-6.369028;34.888822000000005
225;"UA";48.379433;31.165579999999977
226;"UG";1.373333;32.290275000000065
227;"UM";14.0045105;-176.7056275
228;"US";37.09024;-95.71289100000001
229;"UY";-32.522779;-55.76583500000004
230;"UZ";41.377491;64.58526200000006
231;"VA";41.902916;12.453389000000016
232;"VC";12.984305;-61.28722800000003
233;"VE";6.42375;-66.58973000000003
234;"VG";18.420695;-64.63996800000001
235;"VI";18.335765;-64.89633500000002
236;"VN";14.058324;108.277199
237;"VU";-15.376706;166.959158
238;"WF";-13.768752;-177.156097
239;"WS";-13.759029;-172.104629
240;"YE";15.552727;48.516388000000006
241;"YT";-12.8275;45.166244000000006
242;"ZA";-30.559482;22.937505999999985
243;"ZM";-13.133897;27.849332000000004
244;"ZW";-19.015438;29.154856999999993
