"";"airline";"airline_id";"source_airport";"source_airport_id";"destination_airport";"destination_airport_id";"codeshare";"stops";"equipment"
"1";"2B";"410";"CEK";"2968";"DME";"4029";"";0;"CR2"
"2";"2B";"410";"CEK";"2968";"KZN";"2990";"";0;"CR2"
"3";"2B";"410";"CEK";"2968";"OVB";"4078";"";0;"CR2"
"4";"2B";"410";"DME";"4029";"CEK";"2968";"";0;"CR2"
"5";"2B";"410";"DME";"4029";"KGD";"2952";"";0;"CR2"
"6";"2B";"410";"DME";"4029";"KZN";"2990";"";0;"CR2"
"7";"2B";"410";"DME";"4029";"NBC";"3769";"";0;"CR2"
"8";"2B";"410";"DME";"4029";"PEZ";"6165";"";0;"CR2"
"9";"2B";"410";"DME";"4029";"UUA";"6160";"";0;"CR2"
"10";"2B";"410";"GYD";"2922";"NBC";"3769";"";0;"CR2"
"11";"2B";"410";"KGD";"2952";"DME";"4029";"";0;"CR2"
"12";"2B";"410";"KZN";"2990";"CEK";"2968";"";0;"CR2"
"13";"2B";"410";"KZN";"2990";"DME";"4029";"";0;"CR2"
"14";"2B";"410";"KZN";"2990";"LED";"2948";"";0;"CR2"
"15";"2B";"410";"KZN";"2990";"MUC";"346";"";0;"CR2"
"16";"2B";"410";"KZN";"2990";"UUA";"6160";"";0;"CR2"
"17";"2B";"410";"LED";"2948";"KZN";"2990";"";0;"CR2"
"18";"2B";"410";"LED";"2948";"NBC";"3769";"";0;"CR2"
"19";"2B";"410";"LED";"2948";"UUA";"6160";"";0;"CR2"
"20";"2B";"410";"MUC";"346";"KZN";"2990";"";0;"CR2"
"21";"2B";"410";"NBC";"3769";"DME";"4029";"";0;"CR2"
"22";"2B";"410";"NBC";"3769";"GYD";"2922";"";0;"CR2"
"23";"2B";"410";"NBC";"3769";"LED";"2948";"";0;"CR2"
"24";"2B";"410";"NJC";"2972";"UUA";"6160";"";0;"CR2"
"25";"2B";"410";"OVB";"4078";"CEK";"2968";"";0;"CR2"
"26";"2B";"410";"PEZ";"6165";"DME";"4029";"";0;"CR2"
"27";"2B";"410";"UUA";"6160";"DME";"4029";"";0;"CR2"
"28";"2B";"410";"UUA";"6160";"KZN";"2990";"";0;"CR2"
"29";"2B";"410";"UUA";"6160";"LED";"2948";"";0;"CR2"
"30";"2B";"410";"UUA";"6160";"NJC";"2972";"";0;"CR2"
"34";"2I";"8359";"ANS";"2787";"LIM";"2789";"";0;"141"
"35";"2I";"8359";"AQP";"2802";"JUL";"2792";"";0;"142"
